Price,District,Town,Type,EnergyCertificate,Parking,ConstructionYear,TotalArea,Garage,Elevator,ElectricCarsCharging,NumberOfBedrooms,NumberOfWC,LivingArea,NumberOfBathrooms,Region
155000.0,Aveiro,Águeda e Borralha,Apartment,C,0.0,1991.0,128.0,False,False,False,3.0,0.0,100.0,2.0,Centro
299000.0,Aveiro,Sangalhos,House,E,0.0,2018.0,165.0,True,False,False,4.0,0.0,177.0,0.0,Centro
549900.0,Aveiro,"Ovar, São João, Arada e São Vicente de Pereira Jusã",House,C,0.0,2006.0,162.0,True,False,False,3.0,2.0,162.0,4.0,Centro
330000.0,Aveiro,Santa Joana,House,F,1.0,1983.0,198.0,False,False,False,3.0,0.0,198.0,3.0,Centro
159000.0,Aveiro,São Salvador,Apartment,E,1.0,1997.0,107.0,False,False,False,3.0,1.0,100.0,2.0,Centro
240000.0,Aveiro,"Ovar, São João, Arada e São Vicente de Pereira Jusã",House,E,0.0,1964.0,118.0,False,False,False,5.0,0.0,118.0,1.0,Centro
149000.0,Aveiro,"Trofa, Segadães e Lamas do Vouga",House,E,1.0,1960.0,171.0,False,False,False,4.0,0.0,171.0,2.0,Centro
189900.0,Aveiro,Gafanha da Nazaré,House,NC,0.0,1951.0,80.0,False,False,False,3.0,0.0,80.0,2.0,Centro
595000.0,Aveiro,Espinho,Apartment,C,0.0,2005.0,299.0,True,True,False,4.0,0.0,163.0,3.0,Norte
195000.0,Aveiro,"Requeixo, Nossa Senhora de Fátima e Nariz",House,F,1.0,1968.0,158.0,False,False,False,3.0,0.0,113.0,1.0,Centro
415000.0,Aveiro,Escapães,House,C,0.0,2009.0,315.0,True,False,False,3.0,0.0,268.0,5.0,Norte
315000.0,Aveiro,Espinho,Apartment,A,1.0,2020.0,104.0,False,True,False,2.0,0.0,90.0,2.0,Norte
220000.0,Aveiro,Valongo do Vouga,House,F,1.0,2014.0,115.0,False,False,False,3.0,2.0,135.0,2.0,Centro
399900.0,Aveiro,Esmoriz,House,C,0.0,1998.0,159.0,True,False,True,4.0,2.0,159.0,5.0,Centro
249000.0,Aveiro,São João da Madeira,House,NC,0.0,2024.0,117.0,False,False,False,4.0,0.0,74.0,3.0,Norte
160000.0,Aveiro,"Vila Chã, Codal e Vila Cova de Perrinho",Apartment,C,1.0,1996.0,88.0,False,True,False,2.0,2.0,96.0,2.0,Centro
189900.0,Aveiro,São João da Madeira,Apartment,D,1.0,1999.0,144.0,False,True,False,3.0,1.0,144.0,2.0,Norte
169900.0,Aveiro,Arcos e Mogofores,House,D,0.0,1939.0,120.0,False,False,False,3.0,1.0,60.0,2.0,Centro
255000.0,Aveiro,São Salvador,House,E,0.0,1986.0,260.0,True,False,False,3.0,0.0,154.0,2.0,Centro
320000.0,Aveiro,Glória e Vera Cruz,Apartment,A,1.0,2024.0,52.0,False,True,True,1.0,1.0,52.0,1.0,Centro
532000.0,Aveiro,Glória e Vera Cruz,Apartment,A,1.0,2024.0,78.0,False,True,True,2.0,2.0,78.0,2.0,Centro
310000.0,Aveiro,Glória e Vera Cruz,Apartment,A,1.0,2024.0,52.0,False,True,True,1.0,1.0,52.0,1.0,Centro
436800.0,Aveiro,Glória e Vera Cruz,Apartment,A,1.0,2024.0,78.0,False,True,True,2.0,2.0,78.0,2.0,Centro
280000.0,Aveiro,Glória e Vera Cruz,Apartment,A,1.0,2024.0,49.0,False,True,True,1.0,1.0,49.0,1.0,Centro
